,Title,Price,InStock
0,A Light in the ...,51.77,In stock
1,Tipping the Velvet,53.74,In stock
2,Soumission,50.10,In stock
3,Sharp Objects,47.82,In stock
4,Sapiens: A Brief History ...,54.23,In stock
5,The Requiem Red,22.65,In stock
6,The Dirty Little Secrets ...,33.34,In stock
7,The Coming Woman: A ...,17.93,In stock
8,The Boys in the ...,22.60,In stock
9,The Black Maria,52.15,In stock
10,Starving Hearts (Triangular Trade ...,13.99,In stock
11,Shakespeare's Sonnets,20.66,In stock
12,Set Me Free,17.46,In stock
13,Scott Pilgrim's Precious Little ...,52.29,In stock
14,Rip it Up and ...,35.02,In stock
15,Our Band Could Be ...,57.25,In stock
16,Olio,23.88,In stock
17,Mesaerion: The Best Science ...,37.59,In stock
18,Libertarianism for Beginners,51.33,In stock
19,It's Only the Himalayas,45.17,In stock
20,In Her Wake,12.84,In stock
21,How Music Works,37.32,In stock
22,Foolproof Preserving: A Guide ...,30.52,In stock
23,Chase Me (Paris Nights ...,25.27,In stock
24,Black Dust,34.53,In stock
25,Birdsong: A Story in ...,54.64,In stock
26,America's Cradle of Quarterbacks: ...,22.50,In stock
27,Aladdin and His Wonderful ...,53.13,In stock
28,Worlds Elsewhere: Journeys Around ...,40.30,In stock
29,Wall and Piece,44.18,In stock
30,The Four Agreements: A ...,17.66,In stock
31,The Five Love Languages: ...,31.05,In stock
32,The Elephant Tree,23.82,In stock
33,The Bear and the ...,36.89,In stock
34,Sophie's World,15.94,In stock
35,Penny Maybe,33.29,In stock
36,Maude (1883-1993):She Grew Up ...,18.02,In stock
37,"In a Dark, Dark ...",19.63,In stock
38,Behind Closed Doors,52.22,In stock
39,You can't bury them ...,33.63,In stock
40,Slow States of Collapse: ...,57.31,In stock
41,Reasons to Stay Alive,26.41,In stock
42,Private Paris (Private #10),47.61,In stock
43,#HigherSelfie: Wake Up Your ...,23.11,In stock
44,Without Borders (Wanderlove #1),45.07,In stock
45,When We Collided,31.77,In stock
46,"We Love You, Charlie ...",50.27,In stock
47,Untitled Collection: Sabbath Poems ...,14.27,In stock
48,Unseen City: The Majesty ...,44.18,In stock
49,Unicorn Tracks,18.78,In stock
50,Unbound: How Eight Technologies ...,25.52,In stock
51,Tsubasa: WoRLD CHRoNiCLE 2 ...,16.28,In stock
52,Throwing Rocks at the ...,31.12,In stock
53,This One Summer,19.49,In stock
54,Thirst,17.27,In stock
