,title,company_name,company_location,rating,salary,post_date,summary
0,Python & SQL Developer,Capgemini,London,3.8,Full-time,Posted3 days ago,Financial Services experience with regulatory reporting experience highly preferred e g CAT MiFID II Blue Sheets Supervisory Control Reports.
1,Python Developer,White Swan Data,London WC1X,,,Posted21 days ago,These betting solutions entail the development of mathematical/statistical models and high-performance algorithms; efficient coding; automation of betting…
2,Python Developer,Citi,London,3.9,Full-time,Posted30+ days ago,"Designing and implementing python-based backend services.Working well in a multidisciplinary team, building a close relationship with other developers, Quants…"
3,RaaS Senior Python Developer,"JPMorgan Chase Bank, N.A.",London,3.8,Full-time,Posted9 days ago,"As a senior developer in the Risk as a Service team, the successful applicant will join a leading entrepreneurial and collegial team within the Asset Manager…"
4,Apprentice Software Developer,ITP,London W2,5.0,"£21,500 a year",Posted3 days ago,We have been awarded a 20-year contract by Transport for London (TfL) to deliver high-speed mobile connectivity across the capital in the largest infrastructure…
5,Python Developer,Harrington Starr,London,,,PostedToday,At least five years of experience as a software developer.Work with a small and focused team to design and develop Python applications.
6,Python Software Developer,Consilience Group,London,,,Posted30+ days ago,"Software Developer will scale out the existing platform in a team of experienced developers, working closely with COO, CTO, Head of Product and CEO."
7,Python Developer,Legal & General Group Plc.,London,,,Posted30+ days ago,"Looking to drive forward innovative software design through your analysis, modelling and coding experience?You will implement these models with high standards…"
8,GIS/Geospatial Developer,Arup,London,,,Posted3 days ago,"Working with the existing Digital team and other Arup specialists.Tasks could include database schema definition and management, data visualisations, user…"
9,Python Developer (Senior),Lawrence Harvey,London,,,Posted1 day ago,"Reporting to the Software Development Lead, our clients Software Developers work as an integral member of the Software Development Chapter, developing,…"
10,Frontend Developer,PwC,London,4.0,Full-time,Posted17 days ago,PwC’s Central Technology team (‘Tech Connect’) is responsible for identifying and deploying innovative machine learning use cases for PwC and its clients.
11,Java Developer with Python,InfinityQuest Limited,Hybrid remote in London SW1A,3.5,Full-time,Posted3 days ago,Good experience of: Python/Pandas/PySpark Java/Spring/Spring Boot.You'll also have: Strong passion for DevOps and automation of manual processes (build/testing…
12,Software Engineer - Python,ThoughtRiver,London,,,Posted30+ days ago,Your focus will be on developing the backend microservices which to deliver ThoughtRiver’s Legal Tech platform.
13,Core Developer (Python),Wintermute Trading,Temporarily Remote in London,,,Posted14 days ago,The role is ideal for a candidate with strong Python skills who is interested to work on building new high-performance systems and developing their knowledge of…
14,Python Developer,Woolf Group,London,,,Posted30+ days ago,SQL Server / Postgre SQL and other technologies.
15,Python/Java Developer,Millennium Management LLC,London,,,Posted11 days ago,Work with a small team of full stack developers in the build out of our strategic Enterprise Risk Platform.You will work closely with Risk Management teams to…
16,Software Engineering - Python - Athena,"JPMorgan Chase Bank, N.A.",London,3.8,Full-time,Posted10 days ago,"To continue on this transformation, we are seeking an experienced software engineer with expertise in the strategy, design, development and implementation of…"
17,Python Developer,Millennium Management LLC,London,,,Posted30+ days ago,"Responsibilities will include building and expanding data access to and from Imagine, develop tools to automate workflows and extend functionality of existing…"
18,Junior Developer,RHP,Teddington TW11,5.0,"£35,500 a year",Posted4 days ago,"We’re looking for a Junior Developer to help us design and develop our systems.You’ll write and test code, finding faults and correcting them quickly and…"
19,Junior Python developer,Oho Group,London,,,Posted30+ days ago,They develop tools to facilitate high speed trading on the sports betting markets.Their system runs 24/7 and they also use low latency software.
20,"Data Python Developer, London",Dome Recruitment,London,,,Posted30+ days ago,"If you are an experienced Python developer with previous experience working with data pipelines, data sets and more this is the challenge for you."
21,Python Software Engineer - Global Rates Technology,"JPMorgan Chase Bank, N.A.",London,3.8,Full-time,Posted10 days ago,"Assesses the vision of the business or key stakeholders and advises on technology options, risks, and costs versus benefits of various approaches."
22,Market Data and Transformations Developer,Royal Bank of Canada,London EC2M,4.0,Full-time,Posted4 days ago,Strong technical developer with extensive hands on application development experience.The platform facilitates the execution of overnight tasks for computation…
23,Junior Back-End Developer,YourPrime Recruitment,Remote in London,,,Posted30+ days ago,Development of functionality to provide an API to process and interact with our data.Work to integrate our APIs with those of external providers.
24,Junior Python Developer,DNEG,London W1W,,,Posted30+ days ago,"As well as being able to learn quickly on the job and use your aptitude for initiative to take on technical tasks when required, you will need to be an…"
25,Developer,Janus Henderson,Hybrid remote in London,,,Posted6 days ago,"Currently our hybrid working model allows employees to work 2 or more days in office and the remaining time remotely.SQL (T-SQL, PL/SQL)."
26,AI/ML Platform - RoboTrader Developer,"JPMorgan Chase Bank, N.A.",London,3.8,Full-time,Posted5 days ago,The Equities Front Office Marking and Analytics Team develops applications for the Equity Derivatives trading and sales desks.
27,Software Developer – PYTHON,Teamlog,London,,,Posted30+ days ago,"This role is about being part of a team putting complex web applications into production.They have a cutting- edge tech stack (AWS, Spark, Python3, Flask,…"
28,Backend Python Developer,Sky,London,3.4,Full-time,Posted30+ days ago,Significant experience as python backend developer.This is an excellent opportunity for an experienced developer to grow skills in Data Science and Cloud…
29,Mid-Senior Level Python Back-end Developer,FTFT UK LTD,London,,,Posted30+ days ago,"Communication skills to liaise the work between CTO and fellow developers.You will be able to work with CTO to manage a junior backend developer team,…"
30,Backend Engineer (Python),Hokodo,Remote in London E2,,,Posted30+ days ago,"Python + django REST framework in the back-end.React.js + Redux in the front-end.Ideally you will be a Python veteran, with a good understanding of modern web…"
31,12 Month Internship - IT Automation Project and Developer,Crédit Agricole CIB,London,,,Posted6 days ago,"This is a Developer role requiring strong technical and design skills as well as scripting knowledge (React).Ø Comply with all applicable legal, regulatory and…"
32,Conversational AI Developer,Lloyds Banking Group,London,3.8,"£61,176 - £99,411 a year",Posted25 days ago,"Salary & Benefits: £61,176- £98,423 base salary, plus annual personal bonus, 15% employer pension contribution (when you put in 6%), 4% flexible cash pot,…"
33,Senior Python Django Developer,hireful,Hybrid remote in London,4.4,"Up to £90,000 a year",Posted30+ days ago,A passion for technology and take their personal development seriously.5+ years’ experience in architecting and building web and mobile applications.
34,Risk Analytics - Python Developer,Morgan Stanley,London,,,Posted30+ days ago,"The RAPD Group partners with Risk Analytics Quants, Risk Managers, Risk IT and Front Office Desk Strategists to build, support and utilize a newly-developed…"
35,SENIOR PYTHON DEVELOPER,Intec Select,Remote in London,,,Posted24 days ago,Strong experience in python development.Experience managing a team of developers/ modellers.Senior Python Developer / Technical Lead – *Outside Contract* – …
36,Software Developer,Arup,London,,,Posted12 days ago,"Using these skills, we help our clients mitigate risks associated with significant hazards, reduce downtime to keep critical systems and networks running, and…"
37,CAE Python Developer,Subsea 7,London,,,Posted27 days ago,"Within the CAE department (Computer Aided Engineering), you will be responsible for developing software engineering tools to support our various Engineering…"
38,Developer,Intercontinental Exchange,London,,,PostedToday,"Design, develop and maintain software to support exchange and contributor data feeds on a real time ticker plant.CVS/GIT source code experience."
39,Python Developer,QuantSpark,Hybrid remote in London SE1+5 locations,,,Posted30+ days ago,We go beyond the remit of traditional strategy consultancies by blending advanced data analytics and software engineering capabilities to build analytical tools…
40,Python Developer,Cogniflare,Remote in London E14,,,Posted30+ days ago,"You will be working on a on MongoDB transformation project.Integrate external data sources through SQL and other APIs, enriching the company's API offering."
41,Backend Engineer (Python),Back Market,Remote in London,,,Posted30+ days ago,"At least 2 years of experience as a talented developer.We are looking for passion in creating systems by producing clean, consistent and well-organised code."
42,Python Developer,"JPMorgan Chase Bank, N.A.",London,,,Posted14 days ago,"The program includes Risk, PnL, Transaction Management, Position Management, and Analytics.Assesses the vision of the business or key stakeholders and advises…"
43,Fully Remote Python Developer,GCS Recruitment Specialists Ltd,Remote in London,5.0,"£35,000 - £90,000 a year",Posted30+ days ago,Permanently Remote or Cambridge Based.Salary - Dependent on experience + expenses + benefits.Python (Django) Engineer for a logistic organisation based in…
44,Front End Developer - senior,Uniting Cloud,Soho,,,Posted30+ days ago,"£70k - 120k per year + Equity.3x days per week in Soho, London office.They are many years' ahead of their nearest competition - Building a sophisticated film…"
45,Front Office Python Developer,Bank of America,London,3.8,Full-time,Posted30+ days ago,You will be responsible for designing and developing complex requirements to accomplish business goals.The Developer ensures that software is developed to meet…
46,Python Developer,Linux Recruit,London,,,Posted30+ days ago,"Contactless payments, instant transactions and effortless foreign exchange."
47,Software Engineering Internship 2022 (London),Quantcast,Remote in London,,,Posted30+ days ago,You will have full project ownership and the autonomy to build impactful products.You will engage with executives and industry leaders through intern and…
48,DevOps Engineer - AWS and Python.,NatWest Group,London,3.8,Full-time,Posted3 days ago,"From home working to job sharing, visit the remote and flexible working page on our website to find out more.Working with your colleagues to deploy and operate…"
49,Python Developer,EPAM Systems,London,,,Posted30+ days ago,Deliver a user platform to support investment decision making and analysis of trends in the investment research space.Excellent communication skills is a must.
50,Full Stack Developer,MARS,Slough SL1,3.8,Full-time,Posted30+ days ago,"Expert Java script developer, Proficient in Python.Experience running code reviews and mentoring junior developers in.Building REST API form scratch."
51,Data Warehouse Developer,Alvarez & Marsal,London,3.6,Full-time,Posted13 days ago,"The developer must work as part of a larger team to understand and implement specifications, communicate technical issues, and actively participate in…"
52,Software Developer,FDM Group,London,,,Hiring ongoing,The FDM Software Development and Engineering stream combines accredited training and support programmes with professional experience working as an FDM…
